"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"VirtEcom1.2.nlogox"
"Experiment A_OperatingCost"
"09/06/2026 23:54:45:530 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","operating-cost","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity"
"4","20","46","20","0","1","189.5","0","53.35","30","0","4.35"
"1","0","29","20","0","1","1075.375","0","48.25","28","0","4.05"
"3","10","47","20","0","1","716","0","49.75","44","0","4.55"
"2","5","45","20","0","1","833.875","0","34.05","32","0","4.4"
"6","40","49","20","0","1","-21.25","875","38.1","19","0","4.3"
"5","30","50","20","0","1","56.125","450","38.85","22","0","4.25"
"7","50","43","20","0","1","23","1050","43.7","48","0","4.75"
"4","20","47","20","0","1","169.5","0","53.35","30","0","4.35"
"6","40","50","20","0","1","-61.25","875","38.1","19","0","4.3"
"3","10","48","20","0","1","706","0","49.75","44","0","4.55"
"2","5","46","20","0","1","828.875","0","34.05","32","0","4.4"
"1","0","30","20","0","1","1075.375","0","48.25","28","0","4.05"
"5","30","51","20","0","1","176.125","600","38.85","22","0","4.25"
"4","20","48","20","0","1","149.5","0","53.35","30","0","4.35"
"7","50","44","20","0","1","-27","1050","43.7","48","0","4.75"
"2","5","47","20","0","1","823.875","0","34.05","32","0","4.4"
"3","10","49","20","0","1","696","0","49.75","44","0","4.55"
"6","40","51","20","0","1","123.75","1100","38.1","19","0","4.3"
"1","0","31","20","0","1","1075.375","0","48.25","28","0","4.1"
"4","20","49","20","0","1","129.5","0","53.35","30","0","4.35"
"5","30","52","20","0","1","171.125","625","38.85","22","0","4.25"
"2","5","48","20","0","1","818.875","0","34.05","32","0","4.4"
"6","40","52","20","0","1","108.75","1125","38.1","19","0","4.3"
"3","10","50","20","0","1","686","0","49.75","44","0","4.6"
"7","50","45","20","0","1","-27","1100","43.7","49","0","4.8"
"1","0","32","20","0","1","1075.375","0","48.25","28","0","4.1"
"4","20","50","20","0","1","109.5","0","53.35","30","0","4.35"
"7","50","46","20","0","1","-52","1125","43.7","49","0","4.85"
"6","40","53","20","0","1","143.75","1200","38.1","19","0","4.3"
"2","5","49","20","0","1","813.875","0","34.05","32","0","4.4"
"3","10","51","20","0","1","676","0","49.75","44","0","4.6"
"5","30","53","20","0","1","166.125","650","38.85","22","0","4.3"
"4","20","51","20","0","1","289.5","200","53.35","30","0","4.35"
"1","0","33","20","0","1","1075.375","0","48.25","28","0","4.1"
"6","40","54","20","0","1","128.75","1225","38.1","19","0","4.35"
"2","5","50","20","0","1","808.875","0","34.05","32","0","4.4"
"5","30","54","20","0","1","211.125","725","38.85","22","0","4.3"
"7","50","47","20","0","1","-77","1150","43.7","50","0","4.9"
"3","10","52","20","0","1","666","0","49.75","44","0","4.6"
"4","20","52","20","0","1","294.5","225","53.35","30","0","4.35"
"1","0","34","20","0","1","1075.375","0","48.25","28","0","4.1"
"7","50","48","20","0","1","-77","1200","43.7","50","0","4.9"
"5","30","55","20","0","1","281.125","825","38.85","22","0","4.3"
"6","40","55","20","0","1","113.75","1250","38.1","19","0","4.35"
"3","10","53","20","0","1","656","0","49.75","44","0","4.6"
"4","20","53","20","0","1","324.5","275","53.35","30","0","4.35"
"2","5","51","20","0","1","803.875","0","34.05","32","0","4.45"
"3","10","54","20","0","1","646","0","49.75","44","0","4.6"
"5","30","56","20","0","1","276.125","850","38.85","22","0","4.3"
"7","50","49","20","0","1","-77","1250","43.7","50","0","4.9"
"1","0","35","20","0","1","1075.375","0","48.25","28","0","4.1"
"6","40","56","20","0","1","98.75","1275","38.1","19","0","4.35"
"4","20","54","20","0","1","304.5","275","53.35","30","0","4.35"
"2","5","52","20","0","1","798.875","0","34.05","32","0","4.45"
"3","10","55","20","0","1","636","0","49.75","45","0","4.65"
"5","30","57","20","0","1","246.125","850","38.85","22","0","4.3"
"1","0","36","20","0","1","1075.375","0","48.25","28","0","4.1"
"4","20","55","20","0","1","284.5","275","53.35","30","0","4.35"
"6","40","57","20","0","1","58.75","1275","38.1","19","0","4.35"
"7","50","50","20","0","1","-102","1275","43.7","56","0","4.95"
"5","30","58","20","0","1","241.125","875","38.85","22","0","4.3"
"3","10","56","20","0","1","626","0","49.75","45","0","4.65"
"2","5","53","20","0","1","793.875","0","34.05","32","0","4.45"
"7","50","51","20","0","1","-2","1425","43.7","56","0","4.95"
"6","40","58","20","0","1","18.75","1275","38.1","19","0","4.35"
"4","20","56","20","0","1","264.5","275","53.35","30","0","4.35"
"1","0","37","20","0","1","1075.375","0","48.25","28","0","4.1"
"5","30","59","20","0","1","211.125","875","38.85","27","0","4.35"
"3","10","57","20","0","1","616","0","49.75","46","0","4.7"
"2","5","54","20","0","1","788.875","0","34.05","32","0","4.45"
"7","50","52","20","0","1","23","1500","43.7","56","0","4.95"
"6","40","59","20","0","1","3.75","1300","38.1","19","0","4.35"
"4","20","57","20","0","1","294.5","325","53.35","33","0","4.4"
"1","0","38","20","0","1","1075.375","0","48.25","28","0","4.1"
"4","20","58","20","0","1","274.5","325","53.35","33","0","4.4"
"2","5","55","20","0","1","783.875","0","34.05","32","0","4.45"
"3","10","58","20","0","1","606","0","49.75","46","0","4.7"
"5","30","60","20","0","1","181.125","875","38.85","27","0","4.35"
"6","40","60","20","0","1","-36.25","1300","38.1","19","0","4.35"
"7","50","53","20","0","1","73","1600","43.7","56","0","4.95"
"1","0","39","20","0","1","1075.375","0","48.25","30","0","4.15"
"4","20","59","20","0","1","254.5","325","53.35","33","0","4.4"
"2","5","56","20","0","1","778.875","0","34.05","32","0","4.45"
"6","40","61","20","0","1","-76.25","1300","38.1","19","0","4.35"
"3","10","59","20","0","1","596","0","49.75","46","0","4.7"
"7","50","54","20","0","1","23","1600","43.7","56","0","5"
"5","30","61","20","0","1","151.125","875","38.85","27","0","4.35"
"1","0","40","20","0","1","1075.375","0","48.25","30","0","4.2"
"4","20","60","20","0","1","234.5","325","53.35","33","0","4.4"
"6","40","62","20","0","1","-91.25","1325","38.1","19","0","4.35"
"2","5","57","20","0","1","773.875","0","34.05","32","0","4.45"
"7","50","55","20","0","1","-2","1625","43.7","56","0","5"
"5","30","62","20","0","1","121.125","875","38.85","27","0","4.35"
"3","10","60","20","0","1","586","0","49.75","46","0","4.7"
"2","5","58","20","0","1","768.875","0","34.05","32","0","4.5"
"1","0","41","20","0","1","1075.375","0","48.25","35","0","4.25"
"5","30","63","20","0","1","91.125","875","38.85","27","0","4.4"
"6","40","63","20","0","1","43.75","1500","38.1","19","0","4.4"
"7","50","56","20","0","1","-52","1625","43.7","56","0","5"
"4","20","61","20","0","1","239.5","350","53.35","33","0","4.4"
