"[all run data]","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity"
,"425","20","0","1","1075.375","0","48.25","92","0","7.1","425","20","0","1","183.875","1250","34.05","66","0","6.75","425","6","14","0.3","106.66666666666667","2916.6666666666665","49.75","30","50","7.166666666666667","425","6","14","0.3","-1131.6666666666667","6333.333333333333","53.35","16","60","6","425","4","16","0.2","-2720","9000","38.85","9","46","6.5","425","3","17","0.15","-5094.166666666667","10833.333333333334","38.1","4","20","6","425","0","20","0","0","0","43.7","0","61","0"
,"426","20","0","1","1075.375","0","48.25","92","0","7.1","426","20","0","1","178.875","1250","34.05","69","0","6.8","426","5","15","0.25","118","3000","49.75","20","60","6.6","426","6","14","0.3","-818.3333333333334","6666.666666666667","53.35","16","60","6","426","4","16","0.2","-2750","9000","38.85","9","46","6.5","426","3","17","0.15","-4967.5","11000","38.1","4","20","6","426","0","20","0","0","0","43.7","0","61","0"
,"427","20","0","1","1075.375","0","48.25","92","0","7.1","427","20","0","1","173.875","1250","34.05","69","0","6.8","427","5","15","0.25","108","3000","49.75","20","60","6.6","427","6","14","0.3","-838.3333333333334","6666.666666666667","53.35","16","60","6","427","4","16","0.2","-2780","9000","38.85","9","46","6.5","427","3","17","0.15","-5007.5","11000","38.1","4","20","6","427","0","20","0","0","0","43.7","0","61","0"
,"428","20","0","1","1075.375","0","48.25","92","0","7.1","428","20","0","1","168.875","1250","34.05","69","0","6.8","428","5","15","0.25","98","3000","49.75","20","60","6.6","428","6","14","0.3","-858.3333333333334","6666.666666666667","53.35","16","60","6","428","4","16","0.2","-2810","9000","38.85","9","46","6.5","428","3","17","0.15","-5047.5","11000","38.1","4","20","6","428","0","20","0","0","0","43.7","0","61","0"
,"429","20","0","1","1075.375","0","48.25","92","0","7.1","429","20","0","1","188.875","1275","34.05","69","0","6.8","429","5","15","0.25","88","3000","49.75","20","60","6.6","429","6","14","0.3","-878.3333333333334","6666.666666666667","53.35","16","60","6","429","4","16","0.2","-2840","9000","38.85","9","46","6.5","429","3","17","0.15","-5087.5","11000","38.1","4","20","6","429","0","20","0","0","0","43.7","0","61","0"
,"430","20","0","1","1075.375","0","48.25","92","0","7.1","430","20","0","1","183.875","1275","34.05","69","0","6.8","430","5","15","0.25","78","3000","49.75","20","60","6.6","430","6","14","0.3","-898.3333333333334","6666.666666666667","53.35","16","60","6","430","4","16","0.2","-2870","9000","38.85","9","46","6.5","430","3","17","0.15","-5127.5","11000","38.1","4","20","6","430","0","20","0","0","0","43.7","0","61","0"
,"431","20","0","1","1075.375","0","48.25","92","0","7.1","431","20","0","1","178.875","1275","34.05","69","0","6.8","431","5","15","0.25","68","3000","49.75","20","60","6.6","431","6","14","0.3","-918.3333333333334","6666.666666666667","53.35","16","60","6","431","4","16","0.2","-2900","9000","38.85","9","46","6.5","431","3","17","0.15","-5000.833333333333","11166.666666666666","38.1","4","20","6","431","0","20","0","0","0","43.7","0","61","0"
,"432","20","0","1","1075.375","0","48.25","92","0","7.1","432","20","0","1","198.875","1300","34.05","69","0","6.8","432","5","15","0.25","58","3000","49.75","20","60","6.6","432","6","14","0.3","-938.3333333333334","6666.666666666667","53.35","16","60","6","432","4","16","0.2","-2930","9000","38.85","9","46","6.5","432","3","17","0.15","-5040.833333333333","11166.666666666666","38.1","4","20","6","432","0","20","0","0","0","43.7","0","61","0"
,"433","20","0","1","1075.375","0","48.25","92","0","7.1","433","20","0","1","193.875","1300","34.05","69","0","6.8","433","5","15","0.25","48","3000","49.75","20","60","6.6","433","6","14","0.3","-958.3333333333334","6666.666666666667","53.35","16","60","6","433","4","16","0.2","-2960","9000","38.85","9","46","6.5","433","3","17","0.15","-5080.833333333333","11166.666666666666","38.1","8","20","6.333333333333333","433","0","20","0","0","0","43.7","0","61","0"
,"434","20","0","1","1075.375","0","48.25","92","0","7.1","434","20","0","1","188.875","1300","34.05","69","0","6.8","434","5","15","0.25","38","3000","49.75","20","60","6.6","434","6","14","0.3","-978.3333333333334","6666.666666666667","53.35","16","60","6","434","3","17","0.15","-3813.3333333333335","8166.666666666667","38.85","9","46","7","434","3","17","0.15","-5120.833333333333","11166.666666666666","38.1","8","20","6.333333333333333","434","0","20","0","0","0","43.7","0","61","0"
,"435","20","0","1","1075.375","0","48.25","92","0","7.15","435","20","0","1","183.875","1300","34.05","69","0","6.8","435","5","15","0.25","28","3000","49.75","20","60","6.6","435","6","14","0.3","-998.3333333333334","6666.666666666667","53.35","16","60","6","435","3","17","0.15","-3843.3333333333335","8166.666666666667","38.85","9","46","7","435","3","17","0.15","-5160.833333333333","11166.666666666666","38.1","8","20","6.333333333333333","435","0","20","0","0","0","43.7","0","61","0"
,"436","20","0","1","1075.375","0","48.25","92","0","7.15","436","20","0","1","178.875","1300","34.05","69","0","6.8","436","5","15","0.25","18","3000","49.75","20","60","6.6","436","6","14","0.3","-935","6750","53.35","16","60","6","436","3","17","0.15","-3873.3333333333335","8166.666666666667","38.85","9","46","7","436","3","17","0.15","-5200.833333333333","11166.666666666666","38.1","8","20","6.333333333333333","436","0","20","0","0","0","43.7","0","61","0"
,"437","20","0","1","1075.375","0","48.25","92","0","7.15","437","20","0","1","173.875","1300","34.05","69","0","6.8","437","5","15","0.25","8","3000","49.75","20","60","6.6","437","6","14","0.3","-955","6750","53.35","16","60","6","437","3","17","0.15","-3903.3333333333335","8166.666666666667","38.85","9","46","7","437","3","17","0.15","-5240.833333333333","11166.666666666666","38.1","8","20","6.333333333333333","437","0","20","0","0","0","43.7","0","61","0"
,"438","20","0","1","1075.375","0","48.25","92","0","7.2","438","20","0","1","193.875","1325","34.05","70","0","6.85","438","4","16","0.2","155","3250","49.75","10","70","5.75","438","6","14","0.3","-975","6750","53.35","16","60","6","438","3","17","0.15","-3766.6666666666665","8333.333333333334","38.85","9","46","7","438","3","17","0.15","-5114.166666666667","11333.333333333334","38.1","8","20","6.333333333333333","438","0","20","0","0","0","43.7","0","61","0"
,"439","20","0","1","1075.375","0","48.25","92","0","7.2","439","20","0","1","188.875","1325","34.05","70","0","6.85","439","4","16","0.2","145","3250","49.75","10","70","5.75","439","6","14","0.3","-995","6750","53.35","16","60","6","439","3","17","0.15","-3796.6666666666665","8333.333333333334","38.85","9","46","7","439","3","17","0.15","-5154.166666666667","11333.333333333334","38.1","8","20","6.333333333333333","439","0","20","0","0","0","43.7","0","61","0"
,"440","20","0","1","1075.375","0","48.25","92","0","7.2","440","20","0","1","183.875","1325","34.05","70","0","6.85","440","4","16","0.2","135","3250","49.75","10","70","5.75","440","6","14","0.3","-1015","6750","53.35","16","60","6","440","3","17","0.15","-3826.6666666666665","8333.333333333334","38.85","9","46","7","440","3","17","0.15","-5194.166666666667","11333.333333333334","38.1","10","20","6.666666666666667","440","0","20","0","0","0","43.7","0","61","0"
,"441","20","0","1","1075.375","0","48.25","92","0","7.2","441","20","0","1","178.875","1325","34.05","70","0","6.85","441","4","16","0.2","125","3250","49.75","10","70","5.75","441","6","14","0.3","-1035","6750","53.35","16","60","6","441","3","17","0.15","-3856.6666666666665","8333.333333333334","38.85","9","46","7","441","3","17","0.15","-5234.166666666667","11333.333333333334","38.1","10","20","6.666666666666667","441","0","20","0","0","0","43.7","0","61","0"
,"442","20","0","1","1075.375","0","48.25","92","0","7.2","442","20","0","1","173.875","1325","34.05","70","0","6.85","442","4","16","0.2","115","3250","49.75","10","70","5.75","442","6","14","0.3","-1055","6750","53.35","16","60","6","442","3","17","0.15","-3886.6666666666665","8333.333333333334","38.85","9","46","7","442","3","17","0.15","-5274.166666666667","11333.333333333334","38.1","10","20","6.666666666666667","442","0","20","0","0","0","43.7","0","61","0"
,"443","20","0","1","1075.375","0","48.25","92","0","7.2","443","20","0","1","193.875","1350","34.05","70","0","6.85","443","4","16","0.2","105","3250","49.75","10","70","5.75","443","6","14","0.3","-1075","6750","53.35","16","60","6","443","3","17","0.15","-3916.6666666666665","8333.333333333334","38.85","9","46","7","443","3","17","0.15","-5147.5","11500","38.1","10","20","6.666666666666667","443","0","20","0","0","0","43.7","0","61","0"
,"444","20","0","1","1075.375","0","48.25","92","0","7.2","444","20","0","1","188.875","1350","34.05","70","0","6.85","444","4","16","0.2","95","3250","49.75","10","70","5.75","444","6","14","0.3","-1095","6750","53.35","16","60","6","444","3","17","0.15","-3946.6666666666665","8333.333333333334","38.85","9","46","7","444","3","17","0.15","-5187.5","11500","38.1","10","20","6.666666666666667","444","0","20","0","0","0","43.7","0","61","0"
,"445","20","0","1","1075.375","0","48.25","92","0","7.2","445","20","0","1","208.875","1375","34.05","70","0","6.85","445","4","16","0.2","85","3250","49.75","10","70","5.75","445","6","14","0.3","-1115","6750","53.35","16","60","6","445","3","17","0.15","-3976.6666666666665","8333.333333333334","38.85","9","46","7","445","3","17","0.15","-5227.5","11500","38.1","10","20","6.666666666666667","445","0","20","0","0","0","43.7","0","61","0"
,"446","20","0","1","1075.375","0","48.25","92","0","7.2","446","20","0","1","203.875","1375","34.05","70","0","6.85","446","4","16","0.2","75","3250","49.75","10","70","5.75","446","6","14","0.3","-1135","6750","53.35","16","60","6","446","3","17","0.15","-4006.6666666666665","8333.333333333334","38.85","9","46","7","446","3","17","0.15","-5267.5","11500","38.1","10","20","6.666666666666667","446","0","20","0","0","0","43.7","0","61","0"
,"447","20","0","1","1075.375","0","48.25","92","0","7.2","447","20","0","1","223.875","1400","34.05","70","0","6.85","447","4","16","0.2","65","3250","49.75","10","70","5.75","447","6","14","0.3","-1155","6750","53.35","16","60","6","447","3","17","0.15","-4036.6666666666665","8333.333333333334","38.85","9","46","7","447","3","17","0.15","-5307.5","11500","38.1","10","20","6.666666666666667","447","0","20","0","0","0","43.7","0","61","0"
,"448","20","0","1","1075.375","0","48.25","92","0","7.25","448","20","0","1","218.875","1400","34.05","70","0","6.85","448","4","16","0.2","55","3250","49.75","10","70","5.75","448","6","14","0.3","-1175","6750","53.35","16","60","6","448","3","17","0.15","-4066.6666666666665","8333.333333333334","38.85","9","46","7","448","3","17","0.15","-5347.5","11500","38.1","10","20","6.666666666666667","448","0","20","0","0","0","43.7","0","61","0"
,"449","20","0","1","1075.375","0","48.25","92","0","7.25","449","20","0","1","213.875","1400","34.05","70","0","6.85","449","4","16","0.2","45","3250","49.75","10","70","5.75","449","6","14","0.3","-1195","6750","53.35","16","60","6","449","3","17","0.15","-4096.666666666667","8333.333333333334","38.85","9","46","7","449","3","17","0.15","-5387.5","11500","38.1","10","20","6.666666666666667","449","0","20","0","0","0","43.7","0","61","0"
,"450","20","0","1","1075.375","0","48.25","92","0","7.25","450","20","0","1","208.875","1400","34.05","70","0","6.85","450","4","16","0.2","35","3250","49.75","10","70","5.75","450","6","14","0.3","-1215","6750","53.35","16","60","6","450","3","17","0.15","-4126.666666666667","8333.333333333334","38.85","9","46","7","450","3","17","0.15","-5427.5","11500","38.1","10","20","6.666666666666667","450","0","20","0","0","0","43.7","0","61","0"
,"451","20","0","1","1075.375","0","48.25","92","0","7.25","451","20","0","1","203.875","1400","34.05","70","0","6.85","451","3","17","0.15","370","3500","49.75","10","70","6.333333333333333","451","5","15","0.25","-1178","6800","53.35","16","60","6.6","451","3","17","0.15","-3990","8500","38.85","9","46","7","451","3","17","0.15","-5300.833333333333","11666.666666666666","38.1","10","20","6.666666666666667","451","0","20","0","0","0","43.7","0","61","0"
,"452","20","0","1","1075.375","0","48.25","92","0","7.25","452","20","0","1","223.875","1425","34.05","70","0","6.85","452","3","17","0.15","360","3500","49.75","10","70","6.333333333333333","452","5","15","0.25","-1198","6800","53.35","16","60","6.6","452","3","17","0.15","-4020","8500","38.85","9","46","7","452","3","17","0.15","-5340.833333333333","11666.666666666666","38.1","10","20","6.666666666666667","452","0","20","0","0","0","43.7","0","61","0"
,"453","20","0","1","1075.375","0","48.25","92","0","7.25","453","20","0","1","218.875","1425","34.05","70","0","6.85","453","3","17","0.15","350","3500","49.75","10","70","6.333333333333333","453","5","15","0.25","-1218","6800","53.35","16","60","6.6","453","3","17","0.15","-4050","8500","38.85","9","46","7","453","3","17","0.15","-5380.833333333333","11666.666666666666","38.1","10","20","6.666666666666667","453","0","20","0","0","0","43.7","0","61","0"
,"454","20","0","1","1075.375","0","48.25","92","0","7.25","454","20","0","1","213.875","1425","34.05","70","0","6.85","454","3","17","0.15","340","3500","49.75","10","70","6.333333333333333","454","5","15","0.25","-1238","6800","53.35","16","60","6.6","454","3","17","0.15","-4080","8500","38.85","9","46","7","454","3","17","0.15","-5420.833333333333","11666.666666666666","38.1","10","20","6.666666666666667","454","0","20","0","0","0","43.7","0","61","0"
,"455","20","0","1","1075.375","0","48.25","92","0","7.25","455","20","0","1","208.875","1425","34.05","70","0","6.85","455","3","17","0.15","330","3500","49.75","10","70","6.333333333333333","455","5","15","0.25","-1258","6800","53.35","16","60","6.6","455","3","17","0.15","-3943.3333333333335","8666.666666666666","38.85","9","46","7","455","3","17","0.15","-5460.833333333333","11666.666666666666","38.1","10","20","6.666666666666667","455","0","20","0","0","0","43.7","0","61","0"
,"456","20","0","1","1075.375","0","48.25","92","0","7.25","456","20","0","1","203.875","1425","34.05","70","0","6.85","456","3","17","0.15","320","3500","49.75","10","70","6.333333333333333","456","5","15","0.25","-1278","6800","53.35","16","60","6.6","456","3","17","0.15","-3973.3333333333335","8666.666666666666","38.85","9","46","7","456","3","17","0.15","-5334.166666666667","11833.333333333334","38.1","10","20","6.666666666666667","456","0","20","0","0","0","43.7","0","61","0"
,"457","20","0","1","1075.375","0","48.25","92","0","7.25","457","20","0","1","198.875","1425","34.05","70","0","6.85","457","3","17","0.15","310","3500","49.75","10","70","6.333333333333333","457","5","15","0.25","-1298","6800","53.35","16","60","6.6","457","3","17","0.15","-4003.3333333333335","8666.666666666666","38.85","9","46","7","457","3","17","0.15","-5374.166666666667","11833.333333333334","38.1","10","20","6.666666666666667","457","0","20","0","0","0","43.7","0","61","0"
,"458","20","0","1","1075.375","0","48.25","92","0","7.25","458","20","0","1","193.875","1425","34.05","70","0","6.85","458","3","17","0.15","300","3500","49.75","10","70","6.333333333333333","458","5","15","0.25","-1318","6800","53.35","16","60","6.6","458","3","17","0.15","-4033.3333333333335","8666.666666666666","38.85","9","46","7","458","3","17","0.15","-5414.166666666667","11833.333333333334","38.1","10","20","6.666666666666667","458","0","20","0","0","0","43.7","0","61","0"
,"459","20","0","1","1075.375","0","48.25","92","0","7.25","459","20","0","1","188.875","1425","34.05","70","0","6.85","459","3","17","0.15","290","3500","49.75","10","70","6.333333333333333","459","5","15","0.25","-1338","6800","53.35","16","60","6.6","459","3","17","0.15","-4063.3333333333335","8666.666666666666","38.85","9","46","7","459","3","17","0.15","-5454.166666666667","11833.333333333334","38.1","10","20","6.666666666666667","459","0","20","0","0","0","43.7","0","61","0"
,"460","20","0","1","1075.375","0","48.25","92","0","7.25","460","20","0","1","183.875","1425","34.05","70","0","6.85","460","3","17","0.15","280","3500","49.75","10","70","6.333333333333333","460","5","15","0.25","-1358","6800","53.35","16","60","6.6","460","3","17","0.15","-4093.3333333333335","8666.666666666666","38.85","9","46","7","460","3","17","0.15","-5494.166666666667","11833.333333333334","38.1","10","20","6.666666666666667","460","0","20","0","0","0","43.7","0","61","0"
,"461","20","0","1","1075.375","0","48.25","92","0","7.25","461","20","0","1","178.875","1425","34.05","70","0","6.85","461","3","17","0.15","270","3500","49.75","10","70","6.333333333333333","461","5","15","0.25","-1278","6900","53.35","16","60","6.6","461","3","17","0.15","-4123.333333333333","8666.666666666666","38.85","9","46","7","461","3","17","0.15","-5534.166666666667","11833.333333333334","38.1","10","20","6.666666666666667","461","0","20","0","0","0","43.7","0","61","0"
,"462","20","0","1","1075.375","0","48.25","92","0","7.25","462","20","0","1","173.875","1425","34.05","70","0","6.85","462","3","17","0.15","260","3500","49.75","10","70","6.333333333333333","462","5","15","0.25","-1298","6900","53.35","16","60","6.6","462","3","17","0.15","-4153.333333333333","8666.666666666666","38.85","9","46","7","462","3","17","0.15","-5574.166666666667","11833.333333333334","38.1","10","20","6.666666666666667","462","0","20","0","0","0","43.7","0","61","0"
,"463","20","0","1","1075.375","0","48.25","92","0","7.25","463","20","0","1","168.875","1425","34.05","70","0","6.85","463","3","17","0.15","250","3500","49.75","10","70","6.333333333333333","463","5","15","0.25","-1318","6900","53.35","16","60","6.6","463","3","17","0.15","-4183.333333333333","8666.666666666666","38.85","9","46","7","463","3","17","0.15","-5447.5","12000","38.1","10","20","6.666666666666667","463","0","20","0","0","0","43.7","0","61","0"
,"464","20","0","1","1075.375","0","48.25","92","0","7.25","464","20","0","1","163.875","1425","34.05","70","0","6.85","464","3","17","0.15","240","3500","49.75","10","70","6.333333333333333","464","5","15","0.25","-1338","6900","53.35","16","60","6.6","464","3","17","0.15","-4213.333333333333","8666.666666666666","38.85","9","46","7","464","3","17","0.15","-5487.5","12000","38.1","10","20","6.666666666666667","464","0","20","0","0","0","43.7","0","61","0"
,"465","20","0","1","1075.375","0","48.25","92","0","7.25","465","20","0","1","158.875","1425","34.05","70","0","6.85","465","3","17","0.15","396.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","465","5","15","0.25","-1358","6900","53.35","16","60","6.6","465","3","17","0.15","-4243.333333333333","8666.666666666666","38.85","9","46","7","465","3","17","0.15","-5527.5","12000","38.1","10","20","6.666666666666667","465","0","20","0","0","0","43.7","0","61","0"
,"466","20","0","1","1075.375","0","48.25","92","0","7.25","466","20","0","1","153.875","1425","34.05","71","0","6.9","466","3","17","0.15","386.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","466","5","15","0.25","-1378","6900","53.35","16","60","6.6","466","3","17","0.15","-4273.333333333333","8666.666666666666","38.85","9","46","7","466","3","17","0.15","-5567.5","12000","38.1","10","20","6.666666666666667","466","0","20","0","0","0","43.7","0","61","0"
,"467","20","0","1","1075.375","0","48.25","92","0","7.25","467","20","0","1","148.875","1425","34.05","71","0","6.9","467","3","17","0.15","376.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","467","5","15","0.25","-1398","6900","53.35","16","60","6.6","467","3","17","0.15","-4136.666666666667","8833.333333333334","38.85","9","46","7","467","3","17","0.15","-5607.5","12000","38.1","10","20","6.666666666666667","467","0","20","0","0","0","43.7","0","61","0"
,"468","20","0","1","1075.375","0","48.25","92","0","7.25","468","20","0","1","143.875","1425","34.05","71","0","6.9","468","3","17","0.15","366.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","468","5","15","0.25","-1418","6900","53.35","16","60","6.6","468","3","17","0.15","-4166.666666666667","8833.333333333334","38.85","9","46","7","468","3","17","0.15","-5480.833333333333","12166.666666666666","38.1","10","20","6.666666666666667","468","0","20","0","0","0","43.7","0","61","0"
,"469","20","0","1","1075.375","0","48.25","92","0","7.25","469","20","0","1","138.875","1425","34.05","74","0","6.95","469","3","17","0.15","356.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","469","5","15","0.25","-1438","6900","53.35","16","60","6.6","469","3","17","0.15","-4196.666666666667","8833.333333333334","38.85","9","46","7","469","3","17","0.15","-5520.833333333333","12166.666666666666","38.1","10","20","6.666666666666667","469","0","20","0","0","0","43.7","0","61","0"
,"470","20","0","1","1075.375","0","48.25","92","0","7.25","470","20","0","1","133.875","1425","34.05","74","0","6.95","470","3","17","0.15","346.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","470","5","15","0.25","-1458","6900","53.35","16","60","6.6","470","3","17","0.15","-4226.666666666667","8833.333333333334","38.85","9","46","7","470","3","17","0.15","-5560.833333333333","12166.666666666666","38.1","10","20","6.666666666666667","470","0","20","0","0","0","43.7","0","61","0"
,"471","20","0","1","1075.375","0","48.25","92","0","7.25","471","20","0","1","128.875","1425","34.05","74","0","6.95","471","3","17","0.15","336.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","471","5","15","0.25","-1478","6900","53.35","16","60","6.6","471","3","17","0.15","-4090","9000","38.85","9","46","7","471","3","17","0.15","-5600.833333333333","12166.666666666666","38.1","10","20","6.666666666666667","471","0","20","0","0","0","43.7","0","61","0"
,"472","20","0","1","1075.375","0","48.25","92","0","7.25","472","20","0","1","123.875","1425","34.05","74","0","6.95","472","3","17","0.15","326.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","472","5","15","0.25","-1498","6900","53.35","16","60","6.6","472","3","17","0.15","-4120","9000","38.85","9","46","7","472","3","17","0.15","-5640.833333333333","12166.666666666666","38.1","10","20","6.666666666666667","472","0","20","0","0","0","43.7","0","61","0"
,"473","20","0","1","1075.375","0","48.25","92","0","7.25","473","20","0","1","118.875","1425","34.05","74","0","6.95","473","3","17","0.15","316.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","473","5","15","0.25","-1518","6900","53.35","16","60","6.6","473","3","17","0.15","-4150","9000","38.85","9","46","7","473","3","17","0.15","-5680.833333333333","12166.666666666666","38.1","10","20","6.666666666666667","473","0","20","0","0","0","43.7","0","61","0"
,"474","20","0","1","1075.375","0","48.25","97","0","7.3","474","20","0","1","113.875","1425","34.05","74","0","6.95","474","3","17","0.15","306.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","474","5","15","0.25","-1538","6900","53.35","16","60","6.6","474","3","17","0.15","-4180","9000","38.85","9","46","7","474","3","17","0.15","-5720.833333333333","12166.666666666666","38.1","10","20","6.666666666666667","474","0","20","0","0","0","43.7","0","61","0"
,"475","20","0","1","1075.375","0","48.25","97","0","7.3","475","20","0","1","108.875","1425","34.05","74","0","6.95","475","3","17","0.15","296.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","475","5","15","0.25","-1558","6900","53.35","16","60","6.6","475","3","17","0.15","-4210","9000","38.85","9","46","7","475","3","17","0.15","-5760.833333333333","12166.666666666666","38.1","10","20","6.666666666666667","475","0","20","0","0","0","43.7","0","61","0"
,"476","20","0","1","1075.375","0","48.25","97","0","7.3","476","20","0","1","103.875","1425","34.05","74","0","6.95","476","3","17","0.15","286.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","476","4","16","0.2","-1717.5","6750","53.35","16","60","6.75","476","3","17","0.15","-4240","9000","38.85","9","46","7","476","3","17","0.15","-5634.166666666667","12333.333333333334","38.1","10","20","6.666666666666667","476","0","20","0","0","0","43.7","0","61","0"
,"477","20","0","1","1075.375","0","48.25","97","0","7.3","477","20","0","1","98.875","1425","34.05","74","0","6.95","477","3","17","0.15","276.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","477","4","16","0.2","-1737.5","6750","53.35","16","60","6.75","477","3","17","0.15","-4270","9000","38.85","9","46","7","477","3","17","0.15","-5674.166666666667","12333.333333333334","38.1","10","20","6.666666666666667","477","0","20","0","0","0","43.7","0","61","0"
,"478","20","0","1","1075.375","0","48.25","97","0","7.3","478","20","0","1","93.875","1425","34.05","74","0","6.95","478","3","17","0.15","266.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","478","4","16","0.2","-1757.5","6750","53.35","16","60","6.75","478","3","17","0.15","-4300","9000","38.85","9","46","7","478","3","17","0.15","-5714.166666666667","12333.333333333334","38.1","10","20","6.666666666666667","478","0","20","0","0","0","43.7","0","61","0"
,"479","20","0","1","1075.375","0","48.25","97","0","7.3","479","20","0","1","88.875","1425","34.05","74","0","6.95","479","3","17","0.15","256.6666666666667","3666.6666666666665","49.75","10","70","6.333333333333333","479","4","16","0.2","-1777.5","6750","53.35","16","60","6.75","479","3","17","0.15","-4330","9000","38.85","9","46","7","479","3","17","0.15","-5754.166666666667","12333.333333333334","38.1","10","20","6.666666666666667","479","0","20","0","0","0","43.7","0","61","0"
,"480","20","0","1","1075.375","0","48.25","97","0","7.3","480","20","0","1","83.875","1425","34.05","77","0","7","480","3","17","0.15","246.66666666666666","3666.6666666666665","49.75","10","70","6.333333333333333","480","4","16","0.2","-1797.5","6750","53.35","16","60","6.75","480","3","17","0.15","-4360","9000","38.85","9","46","7","480","3","17","0.15","-5794.166666666667","12333.333333333334","38.1","10","20","6.666666666666667","480","0","20","0","0","0","43.7","0","61","0"
,"481","20","0","1","1075.375","0","48.25","97","0","7.3","481","20","0","1","78.875","1425","34.05","77","0","7","481","3","17","0.15","236.66666666666666","3666.6666666666665","49.75","10","70","6.333333333333333","481","4","16","0.2","-1817.5","6750","53.35","16","60","6.75","481","3","17","0.15","-4390","9000","38.85","9","46","7","481","3","17","0.15","-5667.5","12500","38.1","10","20","6.666666666666667","481","0","20","0","0","0","43.7","0","61","0"
,"482","20","0","1","1075.375","0","48.25","97","0","7.35","482","20","0","1","73.875","1425","34.05","77","0","7","482","3","17","0.15","226.66666666666666","3666.6666666666665","49.75","10","70","6.333333333333333","482","4","16","0.2","-1837.5","6750","53.35","16","60","6.75","482","3","17","0.15","-4420","9000","38.85","9","46","7","482","3","17","0.15","-5707.5","12500","38.1","10","20","6.666666666666667","482","0","20","0","0","0","43.7","0","61","0"
,"483","20","0","1","1075.375","0","48.25","97","0","7.35","483","20","0","1","68.875","1425","34.05","77","0","7","483","3","17","0.15","216.66666666666666","3666.6666666666665","49.75","10","70","6.333333333333333","483","4","16","0.2","-1857.5","6750","53.35","16","60","6.75","483","3","17","0.15","-4450","9000","38.85","9","46","7","483","3","17","0.15","-5747.5","12500","38.1","10","20","6.666666666666667","483","0","20","0","0","0","43.7","0","61","0"
,"484","20","0","1","1075.375","0","48.25","97","0","7.35","484","20","0","1","63.875","1425","34.05","77","0","7","484","3","17","0.15","206.66666666666666","3666.6666666666665","49.75","10","70","6.333333333333333","484","4","16","0.2","-1877.5","6750","53.35","16","60","6.75","484","3","17","0.15","-4313.333333333333","9166.666666666666","38.85","9","46","7","484","3","17","0.15","-5787.5","12500","38.1","10","20","6.666666666666667","484","0","20","0","0","0","43.7","0","61","0"
,"485","20","0","1","1075.375","0","48.25","97","0","7.35","485","20","0","1","58.875","1425","34.05","77","0","7","485","3","17","0.15","196.66666666666666","3666.6666666666665","49.75","10","70","6.333333333333333","485","4","16","0.2","-1897.5","6750","53.35","16","60","6.75","485","3","17","0.15","-4343.333333333333","9166.666666666666","38.85","9","46","7","485","3","17","0.15","-5827.5","12500","38.1","10","20","6.666666666666667","485","0","20","0","0","0","43.7","0","61","0"
,"486","20","0","1","1075.375","0","48.25","97","0","7.35","486","20","0","1","53.875","1425","34.05","77","0","7","486","3","17","0.15","186.66666666666666","3666.6666666666665","49.75","10","70","6.333333333333333","486","4","16","0.2","-1792.5","6875","53.35","16","60","6.75","486","3","17","0.15","-4373.333333333333","9166.666666666666","38.85","9","46","7","486","3","17","0.15","-5867.5","12500","38.1","10","20","6.666666666666667","486","0","20","0","0","0","43.7","0","61","0"
