"[all run data]","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity","[step]","count sellers","exited-sellers","survival-rate","mean-cash","mean-debt","mean-buyer-budget","count offers","link-loss","mean-complexity"
,"40","20","0","1","1075.375","0","48.25","30","0","4.2","40","20","0","1","858.875","0","34.05","32","0","4.35","40","20","0","1","786","0","49.75","44","0","4.45","40","20","0","1","309.5","0","53.35","27","0","4.25","40","20","0","1","331.125","425","38.85","22","0","4.2","40","20","0","1","213.75","750","38.1","19","0","4.25","40","20","0","1","-127","750","43.7","48","0","4.75"
,"41","20","0","1","1075.375","0","48.25","35","0","4.25","41","20","0","1","853.875","0","34.05","32","0","4.35","41","20","0","1","776","0","49.75","44","0","4.45","41","20","0","1","289.5","0","53.35","27","0","4.25","41","20","0","1","301.125","425","38.85","22","0","4.2","41","20","0","1","198.75","775","38.1","19","0","4.25","41","20","0","1","-27","900","43.7","48","0","4.75"
,"42","20","0","1","1075.375","0","48.25","35","0","4.25","42","20","0","1","848.875","0","34.05","32","0","4.35","42","20","0","1","766","0","49.75","44","0","4.5","42","20","0","1","269.5","0","53.35","27","0","4.25","42","20","0","1","271.125","425","38.85","22","0","4.25","42","20","0","1","208.75","825","38.1","19","0","4.25","42","20","0","1","-2","975","43.7","48","0","4.75"
,"43","20","0","1","1075.375","0","48.25","35","0","4.25","43","20","0","1","843.875","0","34.05","32","0","4.35","43","20","0","1","756","0","49.75","44","0","4.5","43","20","0","1","249.5","0","53.35","27","0","4.25","43","20","0","1","266.125","450","38.85","22","0","4.25","43","20","0","1","193.75","850","38.1","19","0","4.25","43","20","0","1","23","1050","43.7","48","0","4.75"
,"44","20","0","1","1075.375","0","48.25","35","0","4.25","44","20","0","1","838.875","0","34.05","32","0","4.4","44","20","0","1","746","0","49.75","44","0","4.5","44","20","0","1","229.5","0","53.35","27","0","4.3","44","20","0","1","236.125","450","38.85","22","0","4.25","44","20","0","1","153.75","850","38.1","19","0","4.25","44","20","0","1","-27","1050","43.7","48","0","4.75"
,"45","20","0","1","1075.375","0","48.25","35","0","4.25","45","20","0","1","833.875","0","34.05","32","0","4.4","45","20","0","1","736","0","49.75","44","0","4.5","45","20","0","1","209.5","0","53.35","30","0","4.35","45","20","0","1","206.125","450","38.85","22","0","4.25","45","20","0","1","113.75","850","38.1","19","0","4.25","45","20","0","1","-27","1100","43.7","49","0","4.8"
,"46","20","0","1","1075.375","0","48.25","35","0","4.25","46","20","0","1","828.875","0","34.05","32","0","4.4","46","20","0","1","726","0","49.75","44","0","4.55","46","20","0","1","189.5","0","53.35","30","0","4.35","46","20","0","1","176.125","450","38.85","22","0","4.25","46","20","0","1","73.75","850","38.1","19","0","4.3","46","20","0","1","-52","1125","43.7","49","0","4.85"
,"47","20","0","1","1075.375","0","48.25","35","0","4.3","47","20","0","1","823.875","0","34.05","32","0","4.4","47","20","0","1","716","0","49.75","44","0","4.55","47","20","0","1","169.5","0","53.35","30","0","4.35","47","20","0","1","146.125","450","38.85","22","0","4.25","47","20","0","1","58.75","875","38.1","19","0","4.3","47","20","0","1","-77","1150","43.7","50","0","4.9"
,"48","20","0","1","1075.375","0","48.25","35","0","4.35","48","20","0","1","818.875","0","34.05","32","0","4.4","48","20","0","1","706","0","49.75","44","0","4.55","48","20","0","1","149.5","0","53.35","30","0","4.35","48","20","0","1","116.125","450","38.85","22","0","4.25","48","20","0","1","18.75","875","38.1","19","0","4.3","48","20","0","1","-77","1200","43.7","50","0","4.9"
,"49","20","0","1","1075.375","0","48.25","35","0","4.35","49","20","0","1","813.875","0","34.05","32","0","4.4","49","20","0","1","696","0","49.75","44","0","4.55","49","20","0","1","129.5","0","53.35","30","0","4.35","49","20","0","1","86.125","450","38.85","22","0","4.25","49","20","0","1","-21.25","875","38.1","19","0","4.3","49","20","0","1","-77","1250","43.7","50","0","4.9"
,"50","20","0","1","1075.375","0","48.25","35","0","4.35","50","20","0","1","808.875","0","34.05","32","0","4.4","50","20","0","1","686","0","49.75","44","0","4.6","50","20","0","1","109.5","0","53.35","30","0","4.35","50","20","0","1","56.125","450","38.85","22","0","4.25","50","20","0","1","-61.25","875","38.1","19","0","4.3","50","20","0","1","-102","1275","43.7","56","0","4.95"
